,asin,summary
0,B000FA64QO,I really hate e-books
1,B000FBJBA4,"Most Excellent OK, but not exciting Great! I don't give a rip about women's shoes Outstanding Old SiFi Dawg, I love this series ... I liked this story. The 1st of Many Vatta's War Books Awesome book! Always worth reading A good FUN read hopefully the first book in a series Good Writing Makes up for Lack of Action A Great Start to a Great Series! Warning -  This Book is a page turner"
2,B000FC2S2Q,More than pleasantly Surprised! good book Far better than the movie. huge fan of the original Day the Earth Stood Still movie A SciFi bookshelf must. Five Stars Wonderful
3,B000W7KNE4,Wonderful debut series and good deal
4,B000ZH6VH4,Magical world meets computer generated reality Magical world meets computer generated reality I can't tell if it's good or not Good beginning.
5,B0014NKZM0,Classic Three cheers for the Wailing Asteroid Good story that moves right along Pretty decent story
6,B0018GY5QU,lovely peaceful post apocalyptic story good book to read Siren or Siryn?
7,B0018GYCRM,I liked the premise A truly wonderful book The bad review is actually for Kindle formatting good book to read Great action and the plot moved swiftly
8,B001C9BIH2,A great sci-fi read. not that good Great concept
9,B001CN47NA,A fun and creative story! Good Series But Needs an Editor A perfect story and I really enjoyed the other two books I've read so far in ... Decent short story Frank Tuttle is the best! Reverse Urban Fantasy - Rogue PI Satisfying
10,B001F7AJHQ,"Good writing Good story, short story intro Wow a very interesting book A Future War Novel Realistic government cover-up story Not as excellent as the 1st book"
11,B001LRQKA0,"only a couple) these books are great! I even broke my promise to myself about ... Outstanding!!! Five Stars a young girl against the world. Adventure, pending disaster, war, family and dragons! absorbing well written story. Good book s Worthwhile, will keep reading this author's books Very detailed story that grows on you Dawning of power The Dawning of Power"
12,B001NIZLZM,Not even for free A Surrealistic Future We Don't Want
13,B0026NBZGC,great book a must read Five Stars
14,B0028AEAG0,"Interesting, almost pointless a little different spin on a first contact story excellent book Looking forward to second book Book 1 Very well written Great sci fi story! Galactic As Easy as ONE Two Three and then the Manual to BOOT!! Love this! Spelling! Move over Hogan and Asimov, Farren has arrived Depressing, but well-written hard scifi A very enjoyable read under dog---i love this style trying but can't keep reading Wow Excellant Reading"
15,B0028K2T54,All hail the grumpy wizard! Wonderful short stories. Loved this humorous classic fantasy novel Funny and Fast. Loved this book. kinda  cute Great story
16,B002ASAKY6,Great Story Telling totally engrossing.
17,B002B9MGIM,Five Stars very good reading No way Alright but needs more
18,B002BNMPZC,Five Stars
19,B002DGSKVK,"Entertaining read Rangers vs Goblins, Wizards vs Witches, what more do you need? A journeys fight against evil I tried to get into this one, I did ... Have now given it five stars Editing issues but a good story"
20,B002K2QLJU,Really Good White Tiger ( book 1) Grrrr!
21,B002L3T5VE,Very Good Science Fiction book Roswell Time Realistic Characters with a Fun Plot Top of the line time travel yarn! Loved it!
22,B002LISF38,A solid good read. a sequence of suspicious escapes
23,B002P8MQ0W,"This book showed promise, but falls into the same ..."
24,B002SQKM84,Wonderful book series
25,B002TSAORU,NICE LITTLE BOOK
26,B002Z7ESPO,Enjoyed this one. Three Stars ok Just started this series and fell in love with it Good Book Sweet and kicking Strong Lead Characters - Lots of FUN Great storyline and worldbuilding  - 4.5 Absolutely great! can't miss space romance Prime Obsession(The Prime Chronicles Book 1)
27,B0034KYZWW,"Good read, thought provoking Excellent Read It'll give you pause"
28,B0034XS6W4,Bleh ... Limericks not fit to publish
29,B00359FD28,A wonderful world has been created WONDERFUL
30,B00361FBWC,Good Read-- Format Issues Great start of the series Refreshing and humorous sci-fi Confusing start Enjoyable book despite a weird background story The Series (so far) Excellent tribute to Legacy Sci-Fi
31,B0036B8YKS,I have not made my mind up yet Five Stars Saving the Universe Space Opera on a Universal Scale The machine that can end our universe is bouncing around space Two Stars You will love this short sci-fi thriller! Guaranteed. Cute sci-fi short A SciFi Gem End of the universe? Buy it The Armageddon Machine fair at best Five Stars Deleted Puts the science back in SF Good little story VERY GOOD Five Stars
32,B0036TH5WS,`Porter had never seen a deeper blue aura than that of Basona's. There was little light in the navy shroud around his head.'
33,B0038KXKVA,"Just ""ok"" If you like turning pages to get back to the plot, this one is for you. First contact & mind transfers Data specialist sent millions of light years away due to a drug trafficker"
34,B003980WGC,A Better read than the descriptions sound shalilayo (mirrors of the world) great book for fantasy readers Shalilayo
35,B003AOA4IQ,wonderful Too Dark Lost Interest After Rape Devil's lair To Hell And Back devil's lair Dante and the Last Templar? brilliant! Awesome this is not worth the effort it requires to read it. It's Not the Latin... Enough to take your breath away! Intriguing tale
36,B003BIGOUI,Liked this Book Space Trippers miss the bus
37,B003CC1KK2,Fast-paced and action-packed science fantasy adventure
38,B003CC1LDS,"Good read, but didn't quite hit the mark Took a while Classic White Hat - Black Hat story Three Stars Four Stars spectacular story Dragons!!!! Not Too Bad! Legend of the White Dragon:Legends Ok ok Great Story Line! Where do I start?"
39,B003DL3NWK,Dave H Not much here
40,B003FMUYVU,"Jeffrey Quyle is a great author, Against the umpire is another great edition ... Good series nice to see the author can poke fun at himself..."
41,B003HC9A86,good book to read The Hunted of 2060
42,B003JMF722,"This is a very nice religious sci-fi book. A good, well-researched sci fi. Interesting theological sci-fi good story slow reading"
43,B003K16TUG,"Great short stories Well done fantasy short stories with creative worlds and characters that really come alive. Nice fantasy collection Five Stars Brief, but otherwise great"
44,B003OYIA6A,"Love, hate and longing A whole lot of story in a small package. ..."
45,B003P2VH98,"Very good read Excellent World Building Interesting I wish this was a series Not a Military SFI but a wonderful character filled tale Excellent Story A very pleasant surprise Danger, Intrigue, Corporate Espionage Not a bad draft... Miss the end of the Golden Age of the Solar Clippers, try this. Most enjoyable Great and addictive story Sci fi with science, mystery and romance in the right proportions. Enjoyable read A Good Read"
46,B003RWS5TQ,"Five Stars Ossendar The guardians separate into three groups! Nice Good series Greatness Still good Still a good read - still needs an editor ""The Split"" Awful grammar, inconsistent logic. Entertaining Nice story Great read!!!"
47,B003V4B4UC,Three Stars Short but good Well written good addition to Jumper series teleporters without borders A brief glimpse into the humanitarian efforts of a couple of super heroes. A side-jump between Reflex and Impulse.
48,B003XNTYU8,"Outstanding Great story telling potential Well worth the price! Wonderful Good continuation. Awsome story ENJOYED VERY MUCH Watch out for those thinking zombies Love this series Better and Better A real page turner Good story, interesting ""smart zombie"" concept Took me awhile Excellent Great book Five Stars Great Read!"
49,B003XVYGVM,Very good a remarkable story A splendid action tale Enjoyable! War on a distant planet...
50,B003Y3BP36,"Quick but funny Well written, but it felt like important details were left out Not even for free.... A chance in Hell Good, solid, four star read."
51,B003Y5H664,Only made me want to re-read the original great book for fantasy readers
52,B003Y8XMQY,Hard-boiled and real!
53,B003YDXKB6,"Good book Good, but not a cliff-hangar interesting This book was crap"
54,B003YUCCDG,Chick Sci-Fi Throwback A Double Good ebook
55,B003ZHVGH6,"Not bad, not bad at all I didn't want to put it down! Velocity B.V. Larson Nice collection of small stories Good story"
56,B003ZK56V0,2.5 Stars but we will round up. a conclusion to the story Series gets too long
57,B003ZSIBK0,A little bit of a lot of things Romace Got In The Way
58,B003ZYEUYA,Nice Short Story and Perfect for Your Lunch Break I enjoyed it until the end A great little short story
59,B00400NHLU,Wow!
60,B00408B0D4,4 1/1 stars.  Loved the male/female leads! Put Refuge Wow it's much better then I thought The disappointing thing about this book is A Marriage for a green card - in space! Laleh and Pikes Story
61,B0040GJB4G,Read with your mind open !
62,B00439GKB2,Soul Repair It's Hard To Write A Good Time Travel Novel A weird one Five Stars
63,B0045JLQIM,was alright No big love story but pirate minutia! Surprising Time Travel/Pirate tale Hard to put down - time travel book
64,B0046H9BW6,Good ideas but the main character was too hesitant pleased
65,B0047O2BXO,"Entertaining The Grand Tour of Terah Boring Another stupid, spineless wimp as the main character Good book"
66,B0048EKM98,"Very good Excellent short story, wish it was longer Great Paranormal Romance Brought  tolife"
67,B0048EL3IC,"I liked the idea, but loathed the execution of the book. Original and suspenseful"
68,B00495XUT0,Alien Lockdown Well done
69,B0049H94XE,Give it a read Bayne's Climb Fantasy
70,B0049P1OW0,"Fun, Nasty, Anti-Heroic Romp A very enjoyable book. Interesting yet incomplete Excellent bring on the next not really a superhero fan Surprisingly Good Awesome! a gritty superhero novel that's a great read I LOVED THIS FREAKING BOOK More Than Enough Bang For Your Buck... Great Read"
71,B004A90FZM,Patchy - deleted from my library
72,B004AHKBVW,A book that will slowly suck you into it. For what it's worth
73,B004AM5B5S,I was hooked!
74,B004ASORSE,that tells me I should buy more of there books so I did and can honestly say this book was great and hope he continues to write
75,B004AYCTLA,"Bravo Interesting story I really loved this great story Five Stars Black Moon is on the rise A shifter novella. can't wait Black moon Love her writing great books Black Moon not horrible Black moon The Moon series by C.L.Bevill Black moon it left me wanting more! Short story Average Nice Little Time Pass Story, No Surprises Review on Black Moon Black Moon more fun than Harvest Moon Expecting More Dull Moon Trilogy - Book 1 Cool Cats are cool"
76,B004C43GKG,"Four Stars Average :( Cool idea and concept, but a bit disjointed"
77,B004C446QE,Open Channel
78,B004C44GF0,"Hemlock and Swords, Oh My Surprisingly gripping Original plot Boring Very enjoyable book Not bad Four Stars A book that could have been much more."
79,B004C44MPO,Five Stars So it starts Worth the time to read! Great series. I'rone (The Guadel Chronicales) I'rode  (The Guadel Chronicles)
80,B004CRTFVM,Middle of the trilogy Not near as good as first book
81,B004CYEXFS,"fun read Hilarious and Unique, a fun collection. Not What One Would Expect Unexpected Delight Short, amusing magic"
82,B004D9FVTE,pretty good book Thinking space ships versus humanity needed a better plot Author confused in what she was writting and showed no intrest in the reader.
83,B004E9U9AY,"Not all bad though, I most likely will read the rest ... A wonderfully written story ReAlly good story! Even a Daywalker needs friends Enjoyable goiong to buy the next one I think the next book is probably going to be much better. However I have lost interest Thirsty Daywalker and Not Quite Romance Great Sensational! Plot never drew me in thirst by Ava Delaney Good read Intriging vampire story Thirst On the Fence Some good ideas Good Book One of six book open ended serial good story, grim world OK YA novella Thirst Didn't finish. Outstanding first books in an intriguing series. This item is what it was represented to be, and I am most appreciative of the fact that I received what I paid for. THIRST Great Review on Thirst A New Twist Makes This a Great Read! Great start Enjoyable series! Better than expected Good When all you want is to be good but everyone else wants you bad Beginning of a New Change"
84,B004EBT3HW,A light read A Great Science-Ficton Novel Nicely done Good book Eh Excellent!!!
85,B004EEPNSM,"Interesting story Four Stars Marie kicks butt in Amber Moon 2nd of 3... great books Amber Moon Very good Better Read Short Better Than Black Moon, But Trying to Be Too Much in a Novella Is It Me? Can't Get Into It Short and to the Point 3+ stars (since it's free) - Some original ideas make it better than the first Better than part one, but still . . . Moon Trilogy - Book 2 Comes together I like this Fairies and Magic"
86,B004EHZUNW,"Where Football and Sci-Fi Merge! Unique, entertaining and fun, a great story! Football! (with Aliens) Space football"
87,B004GKMJ6S,"Steadily Downhill After Book 1 - Save Your Money Four Stars Four Stars not bad but not a favorite Wasn't as happy with book 2 as I was with books 1 ... Mind blowing Sci-fi Action Enjoyed the book and will read the entire series Great Series!!! Slow moving great series Chaos #1- #3 Rloca8754@hotmail.com Good, if offbeat Sci-fi Can chaos be ordered:: perhaps as a side dish SciFi on acid...a strange, long trip...but at its core, enthralling. The Chaos Chronicle 1-3/Sunborn Not up to scratch"
88,B004H4XIQ8,The Watchers - good story Incomplete but intriguing Too fast!
89,B004HD5WXG,"The Last Elf ofLanis Good Fantasy Unusual Good read Last elf of lanis A good start to the series Loved it Enjoyable read (4.5 stars) This item is what it was represented to be, and I am most appreciative of the fact that I received what I paid for. Good read Good book Hooked! Five Stars Excellent Book This book is the best i have read in quite some time."
90,B004I438LM,"Jade Wonderful Another excellent addition to the book of deacon Dragonlicious Five Stars Five Stars As long as he keeps writing this series I will keep reading them In the Best Tradition of Fantesy Girls and dragons So well done! Four Stars Four Stars This is a good top off to the series Nice short story An interesting story. a ""Book of Deacon"" series addition Good, solid story, very entertaining Jade Loved this series Aftermath of Book of Deacon Has potential as an indication of future novels Fairy tale without the fairy Jade light reading I REALLY love this author!! I want more! MORE MORE MORE Good read A bit flat after the Trilogy Pleasant but more tame than expected Waste Jade and Halifax"
91,B004I8WNR8,"Great Story! Well worth the read! Not bad for a zombie apocalypse book Five Stars Very good Better than i thought going in Not a typical zombie story. the apcalypse on a personal level Awesome book Definitely a different story Just the flu...? great book --lots of typos Not bad Yeah ok... good for a ""zombie"" book Confusing, badly edited and repetitive Entertaining read Young adult fiction Just slightly above average Sequels, ugh Kept me turning the pages! YA Zombieish Fiction Good zombie story with an intriguing premise Who will make it out alive? I really love the idea Haunting"
92,B004IEAA54,Three Stars (Fiction / 1017 Kindle Locations)
93,B004ISLSWE,"Good sci-fi short story Review of Jigsaw Puzzled Good...but only a chapter, not a novel Rekindled my long lost love of science fiction stories. Nice short story Too short! I still don't know what I just read"
94,B004IZLHZA,"Fun, Fun, Fun Mesmerizingly bizarre The Circus Infinitus  Stories Volume 1 by Ethan Somerville"
95,B004J4WJBQ,"Whets the appetite for the sequel Five Stars She is now one of my favourite authors. Try any of her books I'm sure ... Short & yet entertaining Nice! swashbuckling other world; heroine Close calls abound Must read Don't miss these Couple short stories Ice Cracker II (and other short stories) (The Emperor's Edge) Quick, Fun Read Great collection of short stories Great story Can't put down series-must read ! A great companion to the Emperor's Edge Series A good read in the overall story Light read Hard to get enough Fun Emporer's Edge Short Love love love Great addition Passing time Counting down the days... Take a trip to a new world of events Four Stars Lindsay is Awesome! Loved the series and these stories Excellent side stories to add dimension to the characters from the Emperor's Edge series. Five Stars entertaining read"
