,reviewerID,summary
0,A0769183K7L2H54MJRG4,"The defining moment of Fred Johnson's life and story. One of the most unique and entertaining books I've ever read. A great supplement to the Expanse series, and an excellent little story all by itself. Go inside the mind of a sociopath - one of the architects of the ""Eros Incident."" Meh..."
1,A0886097YX1F6V4PD6J7,it can not end there had to have a book ... Five Stars Outstanding WOW ! Great book Three Stars
2,A1011UZJAELNPL,"Is it bloody enough? A superbly written disaster book Outstanding sci-fy with good guys and bad guys Well done Apocalypse story Top SF from a very clever and original author Zombies every where Well written Apocalyptic tale Not a bad story of the beginning of a Z World tale Space, the final frontier A fine post-civilization adventure Good disaster book The future and the past Good post apolitical tale"
3,A101BX7DD7EUZ1,prequel that is a honey what a wonderful novella a fun post apocalyptic series follow up to Starborn Ascending 2 book set Hard to take a breath here folks this is just a classic serial story (#2)
4,A101C9BMFZDH5A,"tense and so well written I just couldn't put it down -- definitely my favorite of all of Peralta's shorts so far an emotional roller coaster Excellent, fast-paced thriller with fantastic world building I love to be surprised in a story and Mr true gems Absolutely brilliant. A gripping story of survival and love at the most desperate time I loved this latest installment in the zero hour saga Kim Wells weaves history and mythology in this beautiful tale of the Lady in Blue"
5,A101WIFZLJV4JS,Five Stars Five Stars Five Stars Five Stars Five Stars Five Stars
6,A1029ESOR657OQ,Guilty Pleasure Good read Infantile Short Shorts LOVED this book and this author Didn't care for it
7,A102XDLLYYMHLS,Picks up and gets very enjoyable! Loved loved loved! Enjoyed. Very enjoyable! Love this series! Still Enjoying
8,A102ZHOWLK9YUA,"Very well written!!! Much more content! Very interesting story, difficult to follow Excellent  SyFy Space Novel Hmmmmmmm, very interesting!!!"
9,A10357Y8MI8FGC,"The Mystic Saga Omnibus (Books 1-5) Beyond the Event Horizon Arisen:  Genesis The Frontiers Saga: Episodes 1-3 Dark Space:  The Original Trilogy Four Stars War of the Living (The Fall Books 3) RECCE (The Union Series Book 4) Star Rebels Anthology Ghosts of Ophidian The Catherine Kimbridge Chronicles #2 - Redemption The Starborn Uprising: Books 1,2, and 3 Broken Roads Four Stars The War of Alien Aggression"
10,A1045JJB1OT5ES,Vally of incompetence 36 pages Great story I recommend it to anyone. Great series Don't usually write a review but....
11,A104WSHQA9G2DM,Great read a little less kissy face. Set in 1957 - like an old time serial Sci-fi. A great book and story line. Excellent read! Too much like a soap opera. Good futuristic military read! A little different kind of science fiction Great adventure! I really loved this book And yet another great read! Another action packed adventure The beginnings of another great series by Stephen Arseneault! Sojourners book #2
12,A1065WJSCC7417,Short but Good Dragon Love EMP Drama Retiree Roadtrip Gone Wild Strange Magic Fun Short Story
13,A1085FH19JOZTW,Five Stars Five Stars Four Stars Five Stars Five Stars
14,A108IX5QZH9GGQ,... a huge fan of this writer and very much enjoyed this book Five Stars Amazing as always Another great story Love this series Another great read Another great story Awesome story Great series
15,A10BBK663P8HMZ,5 Stars for Eric! Great Book Hooray for Season 5 The Book is Great WTF Series Rule Another great book I Love These Books A Great Book Great Book Great Book and Great Series
16,A10BJTF4P76M4W,Loved it!!! Awesome! MVV=MVB! Most Valuable Book! Absolutely Utterly Fantastic Omg!!!!!
17,A10C4ZRZTWIV7Y,Not What I Thought Many Convenient Events Good Story Needs Work Should Have Been Better Oh My Goodness
18,A10CBQVSCTVVPE,"Worth the time to read! Book 2 lives up to the promise of the first book I actually enjoyed the book I didn't like most of the characters and didn't really care what ... Exciting battles and challenging adventures The plot thickens A very well written trilogy, thought provoking and relovent to thee times Prepare for take off Short stories for everyone Teen to adult Like others I wasn't sure where the Dark reflections books ... Five Stars"
19,A10CJ2UMVKUFFW,"Witty dialog. Puzzling storyline. Good characters... ...an easy 5-star read! keeps it fast, real and doesn't get preposterous Darn good story telling! You will not be disappointed ...glued. ...an excellent read at an excellent price. attitude...his 16-year old character has plenty. ...a continuation of great series. if you want an addictive series - this is it. ...without a doubt, the best series in this genre. The best! It's excellent. The entire series is excellent! This guy is good, real good! He nailed it! ...worth every penny. ...the best, not second best, the best! ...and then have to write another 5-star review. Excellent series! A book, Eamon, a book! Interesting and witty! Interesting and witty! ...he made his point now give us the book!"
20,A10ED33F8VY4GU,Good reading Good read Good reading and good story line. Good Very good reading The story continues Good ending Good but incomplete story Nice story Fun to read Love this series Good reading Waited a long time for it I would recommend to any one good read I will buy more of this good read want more Would recommend i like this author's work Good Fun have read this whole series Good read Great read fun book Good to the last Sex or story ? Always enjoyable Ok Fun Good reading Ok read Interesting reading Fun reading Very nice Good reading Always good Ok reading Good story Good read Needs a editor Good read Could not finish Ok reading Always a fun happy read Fast and fun Good read Always fun Ok Fun and fast Good Ok reading Always good Not bad Fun book Worth reading Fun Good story I think this book is labeled in the wrong gene Good reading Ok Fun series Good till the end Too short As always fun Only four stars Always fun Good reading Needs to move genes Always God Love the story Good Not what I expected Ok Good Would love to follow this further Ok reading Not his best Love the series Good reading Fun reading Good Always fun Ok book Natural born story teller Hope there is a lot more to come I read the whole thing Fast and fun Great reading Good reading Love the story ok Very good Fun to read Ok Good story Great book Ok Good reading Fun reading Good reading Well written Good reading but needs editing Good reading Good Good series Good reading I want more please I like the storyline Too much You will love it or hate it Excellent Ok Good reading Not bad Good story fun series
21,A10EINE3E3988O,jip bad dissapointed don;'t buy Dissapointed jip Bad jip
22,A10FXCZ4C0NFQV,To Be Continued  &^%$#@! Fun Apocalypse Story Excellent Apocalypse Story Excellent Apocalypse Story Excellent Apocalpse Story Great Read Excellent Apocalpse Story
23,A10G046Q48WPZ3,Enjoyed this book Really enjoyed this set of stories hooked Not too bad Enjoyed them all
24,A10GF96SESUSWQ,A New World For Me Wonderful Trilogy. Silo is so intriguing. First exposure to Keith Soares Great short story.
25,A10GWEWQT0IMEW,Prepare for the collapse! Zombie Blog! A very interesting read! What a great read! I really hope that there will be ... A great stand alone read!
26,A10H4L2H1A3QV2,"No Rules Left Unbroken - Great! This Is A Very Mice Series Astonishingly Good Apocraful Loved It Fast Funny and Furious Just Plain Fun to Read Addiction Initiated Fresh Bulky - But Worth It Very Nice Strange and Possibly Evil What A Rollercoaster Too Much A Great Tale Nice Good - But Too Much Fluff Very Nice Utterly Wonderful Just OK SciFan Humor Doesn't Hurt Way Too Much Fun Fits Right In Very Future-Cool Let the Fun Continue Wonderful, Wonderful, Wonderful"
27,A10HSKZ9YPEUUC,"SOOOOOOOOOOO GOOD! Amazing! Great story, TERRIBLE writing. Really well-written! A joy for Sci-Fi readers! Good story, terrible writing"
28,A10IXICTN64ZSV,FAIR READ Very Exciting !! Great ! Ok Read !! Good Read ! Ok Read Ok Read ! Great !! Excellent
29,A10JAMZRU5DOJX,it was ok decent read Worth the read Full of filler Wtf did I just read could have been much more It's ok
30,A10LWPNFJC0ZEC,"Your ""so-called"" life. Time travel with a twist A refreshing reminder of why I began to read SF The Past Saves the Future Another Satisfied Reader Made me cry -- again Off on another imaginative tale"
31,A10NZL269H2Y3X,enjjoy the mega pack's. I haven't finished all three episodes but I am enjoying ... Enjoyed these stories going to read them all. Four Stars MEGAPACKS YEA Other Megapacks were better. MEGAPACKS YEA... Five Stars So far all the megapack's books have been great. I will continue to buy them as long ... Five Stars Four Stars I would like to say all stories are equally great but that ...
32,A10PEXB6XAQ5XF,"Excellent Read Steadily Downhill After Book 1 - Save Your Money It Was Just Kind of ""There"" I Liked It, But Felt Like Something Was Missing Enjoyable Short Story Good Tale and Looking Forward to the Sequel Nice Series and Recommended Complete Comedown from First Book With a Lot of Unbelievable Situations Nice Continuation of the Series Nice Continuation of the Series Excellent Novella for Lowell Fans Nice Continuation of the Series Great Concept Could be the Basis for a Full-Length Novel It Was Just ""OK"" Nice Continuation of the Series Nice Continuation of the Series Book 8 Takes it Up a Notch Really Enjoyed This One Seems to Be Getting Better - Good Series Good, Quick Read and Believable Science Fiction Loved This Series Very Good and a Bargain at 99 Cents Good Story and Value at 99 Cents for Kindle Version Good Thriller Very Disappointing to This Series Reader Nice Continuation of the Series Nice Continuation of the Series and Ready for More Good Short Read and Believable Science Fiction Enjoyable But a Little Thin in Places Excellent Set of Thrillers and Good Value Good Sci-Fi Tale Enjoyable Short Story A Little Disappointing Nice Continuation of the Series Nice Continuation of the Series But a Rather Short Installment Entertaining Read Good Story for Your Lunch Break Good Start to a Sci Fi Serial Nice Continuation of the Series Nice Entertainment Value on the Bundle Nice Compilation Great Value on a Sci-Fi Box Set A Mix Between Sci Fi and Fantasy Nice Short Story and Perfect for Your Lunch Break Nice Collection of Short Stories, Perfect for Your Lunch Break Give This One a Pass Entertaining SF Thriller Very Juvenile Good, Quick Short Story Strange Short Story with a Wicked Twist Great Little Short Story - Could Be an Outline for a Novel Skip This One Give This One a Pass Had to Quit Reading This One Lots of Words, Not Much Substance Not Really a Short Story Entertaining Short Story Good Start to a Series"
33,A10PNH9BSGCESC,"A great short story, I'm so glad I read it. Enjoyed it. Not bad, not bad at all. Fun read, fun read, fun read. A short story that I hope leads to a great many long stories. A page turning joy. A superb series to read. So very good to read just a little of so much. I'm glad I read it. Lindsay Buroker does it again, thanks. Give it a try, its okay. Glad I read this short story."
34,A10PO9216M5LK6,enjoyed this book Wow loved it Wow I liked it Good reading This series keeps getting hotter I like this series so far Interesting book Enjoyed the series Fun series to read Good story
35,A10PS8D8WPPC7,"New Silo lore Better and better... Great ending! Interesting beginning. Great story! Next, please. Next! And the plot thickens! Still more to come. Excellent. Love this ending! Excellent. Excellent! Great variety, fun to read. Horror in the cold. An entertaining assortment. Wonderful character! Good one! Good stuff."
